Designator,Mid X,Mid Y,Rotation,Layer
C101,43.587499,-36.068,0.0,top
C102,47.148963,-27.178,0.0,top
C103,47.244,-35.052,180.0,top
C301,32.512,-28.715,270.0,top
C302,34.784293,-33.384093,180.0,top
J101,34.544,-23.622,270.0,bottom
J102,34.544,-38.862,270.0,bottom
J103,27.178,-31.242,90.0,bottom
J201,51.054,-31.242,180.0,top
J301,23.173,-31.246,270.0,top
R301,29.901,-33.138,0.0,top
R302,29.901,-29.836,0.0,top
U101,40.64,-31.1735,0.0,top
U301,35.052,-29.542001,270.0,top
Y101,46.893637,-31.150891,90.0,top
